days,MJD,date,r,theta,phi,x,y,z
0.0,58484.0,2019-01-01,1.45349465364,74.9966589,39.0512466,1.0902803434422252,0.8845074234939575,0.3762739675391428
1.0,58485.0,2019-01-02,1.454683693856,74.8030632,39.609719899999995,1.0815055737345842,0.8950082989738791,0.38132727140797024
2.0,58486.0,2019-01-03,1.455878097114,74.6111606,40.1682987,1.0726268448471987,0.9054231389130302,0.38634392047798627
3.0,58487.0,2019-01-04,1.457077735776,74.4209658,40.7269843,1.0636452615045553,0.9157511604225722,0.39132352083376415
4.0,58488.0,2019-01-05,1.458282482256,74.2324929,41.2857774,1.0545619372563075,0.9259915870374722,0.39626569278801826
5.0,58489.0,2019-01-06,1.459492209031,74.0457561,41.8446786,1.0453779899527254,0.9361436611666559,0.40117005372046083
6.0,58490.0,2019-01-07,1.460706788664,73.8607691,42.403688,1.0360945448406178,0.9462066340301527,0.406036232764931
7.0,58491.0,2019-01-08,1.461926093824,73.6775455,42.9628055,1.0267127315843227,0.9561797730191759,0.4108638609991808
8.0,58492.0,2019-01-09,1.4631499973,73.4960985,43.5220307,1.0172336840714957,0.9660623584145034,0.4156525787769515
9.0,58493.0,2019-01-10,1.464378372019,73.316441,44.081362899999995,1.0076585407121514,0.9758536838047026,0.42040203326300174
10.0,58494.0,2019-01-11,1.4656110910640001,73.1385858,44.640801,0.9979884469998128,0.9855530553432728,0.4251118735206662
11.0,58495.0,2019-01-12,1.46684802769,72.9625454,45.200343700000005,0.9882245508606676,0.9951597942775732,0.42978175539184155
12.0,58496.0,2019-01-13,1.4680890553400001,72.7883319,45.7599893,0.9783680053389674,1.004673232850712,0.43441134392582714
13.0,58497.0,2019-01-14,1.469334047662,72.6159572,46.3197359,0.9684199659959919,1.0140927187625848,0.4390003084643879
14.0,58498.0,2019-01-15,1.470582878522,72.445433,46.8795813,0.9583815924187422,1.0234176133985313,0.443548322621811
15.0,58499.0,2019-01-16,1.4718354220249998,72.27677059999999,47.43952279999999,0.9482540505813185,1.032647287355775,0.44805506916046683
