days,MJD,date,r,theta,phi,x,y,z
16.0,58500.0,2019-01-17,1.473091552523,72.1099811,47.9995575,0.9380385084210566,1.0417811265730084,0.45252023507252714
17.0,58501.0,2019-01-18,1.474351144639,71.94507540000001,48.5596824,0.9277361337512531,1.05081853384516,0.4569435115614567
18.0,58502.0,2019-01-19,1.475614073274,71.7820639,49.1198939,0.9173481015930776,1.0597589187786416,0.46132460135677433
19.0,58503.0,2019-01-20,1.476880213625,71.6209571,49.6801883,0.9068755880890217,1.0686017095033917,0.4656632040129931
20.0,58504.0,2019-01-21,1.478149441194,71.46176489999999,50.2405615,0.8963197721358885,1.0773463435094,0.46995903300961145
21.0,58505.0,2019-01-22,1.479421631808,71.304497,50.801009,0.885681837427585,1.0859922700538625,0.4742118059428728
22.0,58506.0,2019-01-23,1.48069666163,71.149163,51.361526299999994,0.8749629652608806,1.094538956974197,0.4784212420555248
23.0,58507.0,2019-01-24,1.481974407171,70.995772,51.9221083,0.8641643436325228,1.10298587871613,0.48258707199511097
24.0,58508.0,2019-01-25,1.483254745306,70.8443329,52.482749899999995,0.8532871572699134,1.111332527368544,0.4867090304521186
25.0,58509.0,2019-01-26,1.484537553281,70.6948544,53.0434454,0.842332599006702,1.1195784035067795,0.490786856133457
26.0,58510.0,2019-01-27,1.485822708731,70.547345,53.604189100000006,0.8313018580710242,1.127723025140208,0.494820291739341
27.0,58511.0,2019-01-28,1.487110089688,70.4018126,54.1649748,0.8201961276266718,1.135765917389224,0.498809093717304
28.0,58512.0,2019-01-29,1.488399574595,70.2582653,54.725796100000004,0.809016602929813,1.143706622383583,0.5027530126756268
29.0,58513.0,2019-01-30,1.4896910423140002,70.1167104,55.2866463,0.7977644780721742,1.151544690660427,0.5066518178084287
30.0,58514.0,2019-01-31,1.4909843721399998,69.97715529999999,55.8475186,0.7864409464406441,1.1592796901792926,0.5105052748650658
31.0,58515.0,2019-02-01,1.492279443812,69.8396071,56.4084057,0.7750472066104712,1.1669111978259432,0.5143131559056014
32.0,58516.0,2019-02-02,1.493576137523,69.7040725,56.9693,0.7635844578258598,1.1744388014116864,0.5180752417203434
33.0,58517.0,2019-02-03,1.494874333931,69.5705579,57.5301939,0.7520538942680205,1.1818621042245934,0.5217913193603094
34.0,58518.0,2019-02-04,1.496173914163,69.43906960000001,58.0910793,0.7404567161655804,1.1891807197145403,0.5254611772208527
35.0,58519.0,2019-02-05,1.4974747598320002,69.3096136,58.651948100000006,0.7287941184515679,1.1963942764827988,0.5290846099098979
36.0,58520.0,2019-02-06,1.498776753044,69.1821954,59.2127915,0.7170673043012716,1.203502407514785,0.5326614231135373
37.0,58521.0,2019-02-07,1.500079776404,69.0568205,59.773601,0.7052774666384319,1.2105047667409283,0.5361914213467426
38.0,58522.0,2019-02-08,1.501383713031,68.933494,60.334367500000006,0.6934258049539518,1.2174010143107887,0.5396744177129195
39.0,58523.0,2019-02-09,1.50268844656,68.8122208,60.895081700000006,0.681513517888342,1.2241908231674983,0.5431102289893329
40.0,58524.0,2019-02-10,1.503993861156,68.6930055,61.455734299999996,0.6695417984085447,1.2308738804058181,0.5464986780528466
41.0,58525.0,2019-02-11,1.5052998415180001,68.57585230000001,62.016315399999996,0.6575118461617989,1.2374498791335558,0.5498395963036563
42.0,58526.0,2019-02-12,1.506606272889,68.4607653,62.5768152,0.6454248538443136,1.243918529112675,0.55313281630969
43.0,58527.0,2019-02-13,1.507913041062,68.3477484,63.1372235,0.6332820174297605,1.2502795499582202,0.5563781742315314
44.0,58528.0,2019-02-14,1.509220032387,68.2368049,63.69753000000001,0.6210845279329175,1.256532670963157,0.5595755195885148
45.0,58529.0,2019-02-15,1.510527133784,68.1279383,64.2577241,0.6088335792714906,1.2626776356326415,0.5627246956748336
46.0,58530.0,2019-02-16,1.511834232744,68.0211513,64.8177951,0.5965303595439435,1.2687141949859446,0.5658255640037654
47.0,58531.0,2019-02-17,1.5131412173410002,67.9164469,65.377732,0.5841760601601022,1.2746421149486589,0.5688779773828783
48.0,58532.0,2019-02-18,1.5144479762329999,67.8138274,65.93752370000001,0.5717718671868601,1.2804611694413033,0.5718818043642331
49.0,58533.0,2019-02-19,1.5157543986750002,67.713295,66.4971589,0.5593189661189605,1.286171144486117,0.5748369145535979
50.0,58534.0,2019-02-20,1.517060374523,67.6148517,67.0566261,0.5468185414680535,1.2917718372114606,0.5777431810432242
51.0,58535.0,2019-02-21,1.518365794241,67.5184991,67.6159137,0.5342717737504723,1.2972630548069035,0.5806004852974961
52.0,58536.0,2019-02-22,1.519670548908,67.4242386,68.1750097,0.5216798471217692,1.302644613391496,0.5834087122485141
53.0,58537.0,2019-02-23,1.5209745302239999,67.3320715,68.7339023,0.5090439361847734,1.3079163444269049,0.5861677478372477
54.0,58538.0,2019-02-24,1.5222776305180001,67.2419985,69.29257940000001,0.4963652154572945,1.3130780850939745,0.588877491253887
55.0,58539.0,2019-02-25,1.523579742753,67.1540203,69.85102859999999,0.4836448617612669,1.3181296839790353,0.5915378402372506
56.0,58540.0,2019-02-26,1.5248807605289998,67.0681374,70.4092376,0.4708840443188666,1.3230710025240224,0.5941486959654856
57.0,58541.0,2019-02-27,1.526180578089,66.9843498,70.96719379999999,0.4580839329436978,1.327901908475166,0.59670997040683
58.0,58542.0,2019-02-28,1.527479090323,66.9026575,71.5248847,0.4452456906350771,1.3326222838905162,0.5992215740636319
59.0,58543.0,2019-03-01,1.528776192772,66.82306,72.0822974,0.43237048351140084,1.3372320160575086,0.601683428228948
60.0,58544.0,2019-03-02,1.530071781631,66.7455568,72.6394192,0.4194594686288391,1.3417310069887145,0.6040954527275675
61.0,58545.0,2019-03-03,1.531365753754,66.67014689999999,73.196237,0.4065138064040939,1.3461191636845822,0.6064575781821285
62.0,58546.0,2019-03-04,1.532658006654,66.5968294,73.7527377,0.3935346532790918,1.3503964070924368,0.6087697312949746
63.0,58547.0,2019-03-05,1.5339484385030002,66.52560270000001,74.3089084,0.3805231545864315,1.354562665074426,0.6110318544853874
64.0,58548.0,2019-03-06,1.535236948139,66.4564654,74.8647358,0.3674804614863074,1.3586178772303692,0.6132438838072558
65.0,58549.0,2019-03-07,1.536523435066,66.3894157,75.42020649999999,0.3544077222235121,1.3625619908690652,0.6154057636830292
66.0,58550.0,2019-03-08,1.537807799455,66.32445129999999,75.9753074,0.3413060725061591,1.3663949621721936,0.6175174493773431
67.0,58551.0,2019-03-09,1.539089942148,66.2615701,76.5300249,0.3281766565040986,1.3701167583280491,0.6195788898078783
68.0,58552.0,2019-03-10,1.540369764657,66.2007695,77.0843457,0.3150206060182165,1.3737273550133535,0.6215900447573083
69.0,58553.0,2019-03-11,1.541647169172,66.1420468,77.6382563,0.3018390535550795,1.377226737388636,0.6235508750590187
70.0,58554.0,2019-03-12,1.542922058559,66.0853989,78.1917433,0.2886331245256385,1.380614898471738,0.6254613499908548
71.0,58555.0,2019-03-13,1.544194336362,66.03082260000001,78.744793,0.2754039477050087,1.3838918400895117,0.6273214399130964
72.0,58556.0,2019-03-14,1.5454639068020002,65.9783145,79.2973921,0.2621526382145768,1.3870575752045664,0.62913111874431
73.0,58557.0,2019-03-15,1.546730674786,65.927871,79.84952690000001,0.24888031692364854,1.3901121238246184,0.6308903639839075
74.0,58558.0,2019-03-16,1.5479945459009998,65.87948800000001,80.4011839,0.23558809552068344,1.3930555125094521,0.6325991641278127
75.0,58559.0,2019-03-17,1.549255426424,65.8331616,80.9523495,0.2222770852501344,1.3958877804253496,0.6342575014425179
76.0,58560.0,2019-03-18,1.550513223317,65.7888875,81.50301040000001,0.20894838610261485,1.398608974289785,0.6358653667735499
77.0,58561.0,2019-03-19,1.55176784423,65.746661,82.05315300000001,0.19560310163848946,1.4012191458085994,0.6374227595834996
78.0,58562.0,2019-03-20,1.5530191975049998,65.7064775,82.60276379999999,0.1822423302011634,1.4037183586773667,0.638929675640476
79.0,58563.0,2019-03-21,1.55426719217,65.66833199999999,83.15182940000001,0.1688671642000267,1.4061066828692879,0.6403861193853163
80.0,58564.0,2019-03-22,1.5555117379499999,65.6322195,83.7003365,0.15547869081515575,1.40838419884993,0.6417920940869211
81.0,58565.0,2019-03-23,1.556752745259,65.59813439999999,84.2482717,0.14207799625539372,1.4105509902087903,0.6431476167043507
82.0,58566.0,2019-03-24,1.557990125203,65.5660714,84.7956219,0.128666157178375,1.4126071546167118,0.6444526956671738
83.0,58567.0,2019-03-25,1.5592237895840002,65.5360247,85.34237370000001,0.11524425459547125,1.4145527933043824,0.6457073506954946
84.0,58568.0,2019-03-26,1.5604536509,65.5079884,85.8885141,0.10181335723916704,1.4163880170602643,0.6469116029434943
85.0,58569.0,2019-03-27,1.561679622342,65.48195630000001,86.4340301,0.08837453134696974,1.4181129428551529,0.6480654799896022
86.0,58570.0,2019-03-28,1.5629016177950001,65.4579222,86.97890859999998,0.07492884351691124,1.4197276970588752,0.6491690084402901
87.0,58571.0,2019-03-29,1.5641195518380002,65.43587959999999,87.52313690000001,0.061477348209482516,1.421232412693094,0.650222221405578
88.0,58572.0,2019-03-30,1.5653333397459999,65.4158218,88.06670229999999,0.04802109786462685,1.4226272297362486,0.6512251560660174
89.0,58573.0,2019-03-31,1.566542897487,65.397742,88.60959190000001,0.03456114804844177,1.423912296132467,0.6521778512302486
90.0,58574.0,2019-04-01,1.5677481417269998,65.3816332,89.15179350000001,0.021098535165315294,1.425087767235868,0.6530803498628849
91.0,58575.0,2019-04-02,1.568948989824,65.3674883,89.6932944,0.007634306409406649,1.426153805976105,0.6539326966403105
92.0,58576.0,2019-04-03,1.5701453598269999,65.3552999,90.2340825,-0.005830507484103645,1.4271105810761584,0.6547349429725025
93.0,58577.0,2019-04-04,1.5713371704840002,65.3450605,90.77414549999999,-0.019294872182054248,1.4279582689350787,0.6554871420799002
94.0,58578.0,2019-04-05,1.57252434123,65.3367624,91.31347159999999,-0.032757767074179364,1.4286970523526843,0.6561893515258462
95.0,58579.0,2019-04-06,1.573706792196,65.3303979,91.8520488,-0.04621816777066647,1.4293271228548108,0.6568416282813805
96.0,58580.0,2019-04-07,1.574884444198,65.325959,92.3898653,-0.05967505589216836,1.4298486771263266,0.6574440362503902
97.0,58581.0,2019-04-08,1.576057218746,65.3234376,92.92690970000001,-0.07312742399354741,1.4302619188836645,0.6579966413384362
98.0,58582.0,2019-04-09,1.577225038039,65.3228254,93.46317059999998,-0.08657426543277937,1.430567057933383,0.658499513999612
99.0,58583.0,2019-04-10,1.578387824966,65.32411400000001,93.9986366,-0.10001457430941914,1.4307643114016588,0.6589527267914917
100.0,58584.0,2019-04-11,1.579545503101,65.3272949,94.5332968,-0.11344735786791985,1.430853902829313,0.6593563544226311
101.0,58585.0,2019-04-12,1.580697996701,65.3323594,95.0671402,-0.12687162133339075,1.430836061861269,0.6597104763092114
102.0,58586.0,2019-04-13,1.581845230711,65.3392987,95.60015609999999,-0.1402863778782053,1.4307110246392496,0.6600151741290946
103.0,58587.0,2019-04-14,1.5829871307580001,65.348104,96.132334,-0.15369064616773712,1.4304790349683238,0.6602705293605662
104.0,58588.0,2019-04-15,1.58412362315,65.3587661,96.66366359999999,-0.16708344979856035,1.430140339612952,0.6604766333770222
105.0,58589.0,2019-04-16,1.5852546348769998,65.3712758,97.1941347,-0.18046381514162477,1.429695193088784,0.6606335774711757
106.0,58590.0,2019-04-17,1.586380093605,65.385624,97.7237373,-0.19383077397059473,1.4291438584683716,0.660741450380029
107.0,58591.0,2019-04-18,1.587499927681,65.4018011,98.2524618,-0.2071833674854029,1.428486599699923,0.6608003534369068
108.0,58592.0,2019-04-19,1.5886140661269998,65.4197977,98.7802986,-0.22052063727765378,1.4277236908196937,0.6608103830172533
109.0,58593.0,2019-04-20,1.5897224386359998,65.43960419999999,99.3072383,-0.23384162966071464,1.4268554107004636,0.6607716406560009
110.0,58594.0,2019-04-21,1.5908249755750001,65.4612107,99.8332718,-0.24714539783750558,1.4258820414096456,0.6606842356424152
111.0,58595.0,2019-04-22,1.59192160798,65.4846076,100.3583902,-0.2604310004736789,1.424803875288856,0.6605482699301888
112.0,58596.0,2019-04-23,1.5930122675560001,65.5097849,100.8825848,-0.2736975003115793,1.423621206914641,0.6603638558628134
113.0,58597.0,2019-04-24,1.594096886677,65.5367325,101.40584709999999,-0.2869439646309539,1.422334336449547,0.6601311086684225
114.0,58598.0,2019-04-25,1.5951753983799999,65.5654405,101.928169,-0.3001694708568072,1.4209435719054484,0.659850138912558
115.0,58599.0,2019-04-26,1.596247736366,65.5958985,102.44954229999999,-0.31337309249830125,1.4194492236794347,0.6595210702831867
116.0,58600.0,2019-04-27,1.597313834993,65.6280964,102.9699592,-0.32655391336088296,1.4178516110107178,0.659144019378959
117.0,58601.0,2019-04-28,1.5983736292809998,65.66202369999999,103.4894123,-0.3397110257845818,1.416151053817472,0.6587191135172604
118.0,58602.0,2019-04-29,1.599427054905,65.6976701,104.00789420000001,-0.35284352219806475,1.4143478816099369,0.6582464755624826
119.0,58603.0,2019-04-30,1.600474048195,65.7350251,104.52539770000001,-0.3659504990204222,1.4124424279027505,0.6577262341374095
120.0,58604.0,2019-05-01,1.6015145461320002,65.7740782,105.04191599999999,-0.3790310620768483,1.4104350310770124,0.6571585185965939
121.0,58605.0,2019-05-02,1.602548486347,65.8148186,105.55744240000001,-0.3920843182643395,1.4083260328344394,0.6565434667294007
122.0,58606.0,2019-05-03,1.603575807121,65.8572357,106.0719707,-0.4051093868254135,1.4061157809849532,0.6558812120763786
123.0,58607.0,2019-05-04,1.60459644738,65.9013187,106.5854946,-0.4181053833783905,1.4038046290045103,0.6551718941774254
124.0,58608.0,2019-05-05,1.605610346688,65.947057,107.0980082,-0.43107143345547483,1.4013929369631501,0.6544156484070338
125.0,58609.0,2019-05-06,1.606617445253,65.9944395,107.60950590000002,-0.4440066677033324,1.3988810643740257,0.6536126239310647
126.0,58610.0,2019-05-07,1.607617683919,66.0434554,108.11998229999999,-0.45691022202921927,1.3962693795947443,0.6527629633032247
127.0,58611.0,2019-05-08,1.6086110041659998,66.0940938,108.62943200000001,-0.46978123142813927,1.3935582570410034,0.6518668127421797
128.0,58612.0,2019-05-09,1.609597348109,66.1463436,109.1378503,-0.48261884661303545,1.3907480704163682,0.6509243247617784
129.0,58613.0,2019-05-10,1.61057665849,66.2001938,109.6452324,-0.49542221557671046,1.387839202271151,0.6499356505264606
130.0,58614.0,2019-05-11,1.61154887868,66.2556334,110.1515739,-0.5081904954193585,1.3848320387731379,0.6489009424616574
131.0,58615.0,2019-05-12,1.612513952675,66.3126513,110.65687050000001,-0.5209228446751075,1.3817269711063505,0.6478203568771338
132.0,58616.0,2019-05-13,1.6134718250920002,66.3712362,111.1611183,-0.53361843012019,1.378524391714604,0.6466940566061015
133.0,58617.0,2019-05-14,1.6144224411669998,66.4313772,111.66431370000001,-0.5462764267438442,1.375224701326189,0.6455221955826823
134.0,58618.0,2019-05-15,1.6153657467559999,66.4930629,112.166453,-0.5588960045098277,1.3718283032204779,0.6443049421033058
135.0,58619.0,2019-05-16,1.616301688327,66.5562821,112.667533,-0.5714763456108021,1.3683356049146476,0.6430424608211338
136.0,58620.0,2019-05-17,1.617230212962,66.6210237,113.16755090000001,-0.5840166416611532,1.3647470177261056,0.6417349153565235
137.0,58621.0,2019-05-18,1.6181512683539998,66.6872764,113.6665038,-0.5965160804700403,1.3610629586134453,0.6403824761084064
138.0,58622.0,2019-05-19,1.6190648028060002,66.7550289,114.1643892,-0.608973858837745,1.3572838472408346,0.6389853151337811
139.0,58623.0,2019-05-20,1.6199707652239999,66.8242699,114.6612048,-0.6213891777891516,1.3534101078807195,0.6375436061896105
140.0,58624.0,2019-05-21,1.620869105121,66.8949882,115.1569487,-0.633761247783822,1.3494421681665059,0.6360575221765117
141.0,58625.0,2019-05-22,1.621759772613,66.9671725,115.651619,-0.6460892783575379,1.3453804613110807,0.6345272403763209
142.0,58626.0,2019-05-23,1.622642718421,67.0408115,116.14521409999999,-0.6583724856928922,1.3412254238554997,0.6329529399022411
143.0,58627.0,2019-05-24,1.623517893868,67.1158939,116.6377328,-0.6706100949451885,1.3369774943427595,0.6313348017400503
144.0,58628.0,2019-05-25,1.624385250877,67.1924084,117.129174,-0.6828013332185409,1.332637116631604,0.6296730087891034
145.0,58629.0,2019-05-26,1.6252447419690002,67.2703437,117.61953670000001,-0.6949454296320665,1.3282047399543695,0.6279677459027094
146.0,58630.0,2019-05-27,1.626096320263,67.3496885,118.10882050000001,-0.7070416269417792,1.3236808128038764,0.626219199928636
147.0,58631.0,2019-05-28,1.626939939473,67.4304316,118.59702479999999,-0.7190891635160206,1.3190657934569625,0.6244275571257185
148.0,58632.0,2019-05-29,1.6277755539079999,67.51256169999999,119.08414950000001,-0.7310872885624823,1.3143601394771534,0.6225930084384595
149.0,58633.0,2019-05-30,1.628603118463,67.5960675,119.57019469999999,-0.743035255678535,1.3095643122097382,0.6207157469186504
150.0,58634.0,2019-05-31,1.629422588626,67.6809378,120.0551607,-0.7549323234269334,1.304678777670001,0.618795965135018
151.0,58635.0,2019-06-01,1.6302339204679999,67.7671613,120.5390479,-0.7667777520319192,1.2997040059275766,0.6168338604593223
152.0,58636.0,2019-06-02,1.631037070641,67.8547269,121.02185700000001,-0.7785708096022834,1.2946404712311261,0.6148296272064863
153.0,58637.0,2019-06-03,1.631831996376,67.9436234,121.50358909999999,-0.7903107727529477,1.2894886476546772,0.6127834645589193
154.0,58638.0,2019-06-04,1.6326186554789999,68.0338396,121.9842452,-0.8019969158715373,1.284249016772728,0.6106955739719105
155.0,58639.0,2019-06-05,1.633397006324,68.1253643,122.46382679999999,-0.8136285246769844,1.2789220593806945,0.608566159205063
156.0,58640.0,2019-06-06,1.634167007859,68.2181865,122.94233529999998,-0.8252048839302335,1.2735082655519174,0.6063954210607745
157.0,58641.0,2019-06-07,1.6349286195969999,68.312295,123.4197727,-0.8367252908250953,1.2680081210474612,0.6041835679896452
158.0,58642.0,2019-06-08,1.635681801611,68.4076788,123.89614089999999,-0.8481890416915931,1.2624221207770199,0.6019308055321267
159.0,58643.0,2019-06-09,1.636426514538,68.5043268,124.37144199999999,-0.8595954370326234,1.2567507618634437,0.5996373442934773
160.0,58644.0,2019-06-10,1.6371627195699998,68.6022281,124.84567849999999,-0.8709437876792184,1.2509945431348688,0.5973033920040929
161.0,58645.0,2019-06-11,1.6378903784560002,68.7013717,125.3188531,-0.8822334086203342,1.2451539653143364,0.5949291615098979
162.0,58646.0,2019-06-12,1.6386094534959998,68.8017466,125.79096840000001,-0.8934636131186187,1.2392295365040982,0.5925148681470547
163.0,58647.0,2019-06-13,1.6393199075409999,68.90334200000001,126.2620274,-0.9046337248742627,1.2332217661736988,0.5900607244307756
164.0,58648.0,2019-06-14,1.640021703989,69.006147,126.7320334,-0.9157430740070368,1.2271311639353681,0.5875669480678384
165.0,58649.0,2019-06-15,1.640714806787,69.1101508,127.2009898,-0.9267909939799786,1.2209582442781381,0.5850337566473857
166.0,58650.0,2019-06-16,1.641399180423,69.21534249999999,127.6689,-0.937776818329762,1.214703526566848,0.5824613730048266
167.0,58651.0,2019-06-17,1.6420747899290002,69.32171149999999,128.1357678,-0.948699891718724,1.2083675317613687,0.5798500145366803
168.0,58652.0,2019-06-18,1.642741600875,69.4292471,128.60159720000001,-0.9595595631894529,1.201950782211336,0.5771999039142169
169.0,58653.0,2019-06-19,1.6433995793669998,69.5379386,129.0663922,-0.9703551826233705,1.195453805783113,0.5745112664328423
170.0,58654.0,2019-06-20,1.6440486920469999,69.6477753,129.5301572,-0.9810861091738963,1.1888771291161324,0.5717843300336766
171.0,58655.0,2019-06-21,1.644688906094,69.7587468,129.9928964,-0.991751700705802,1.182221290020635,0.5690193172448309
172.0,58656.0,2019-06-22,1.645320189213,69.8708425,130.4546147,-1.0023513293426296,1.1754868181179325,0.5662164586339259
173.0,58657.0,2019-06-23,1.645942509641,69.98405199999999,130.9153168,-1.0128843653796646,1.168674253266608,0.5633759820621427
174.0,58658.0,2019-06-24,1.646555836145,70.0983648,131.3750075,-1.0233501817038846,1.1617841381916185,0.5604981207784232
175.0,58659.0,2019-06-25,1.6471601380129999,70.2137705,131.83369209999998,-1.03374816320927,1.154817012756082,0.5575831080382412
176.0,58660.0,2019-06-26,1.6477553850600002,70.33025889999999,132.2913758,-1.0440776952731545,1.1477734252072234,0.554631174399173
177.0,58661.0,2019-06-27,1.6483415476199998,70.4478196,132.7480641,-1.0543381693148455,1.1406539220703316,0.5516425585482743
178.0,58662.0,2019-06-28,1.6489185965470001,70.5664424,133.2037625,-1.0645289794067287,1.133459056422415,0.5486174964907752
179.0,58663.0,2019-06-29,1.649486503213,70.6861173,133.6584767,-1.074649526355499,1.1261893841319466,0.5455562215338197
180.0,58664.0,2019-06-30,1.650045239509,70.8068339,134.11221270000001,-1.0846992157222395,1.1188454576999722,0.5424589805893264
181.0,58665.0,2019-07-01,1.650594777839,70.9285824,134.5649766,-1.0946774604483342,1.1114278367814028,0.5393260070153993
182.0,58666.0,2019-07-02,1.6511350911179998,71.0513526,135.0167743,-1.1045836685635573,1.1039370870686465,0.5361575477957117
183.0,58667.0,2019-07-03,1.6516661527720002,71.1751346,135.4676124,-1.1144172652819075,1.0963737677807943,0.5329538445085087
184.0,58668.0,2019-07-04,1.652187936736,71.2999186,135.91749730000004,-1.1241776742545675,1.0887384473680775,0.5297151387548787
185.0,58669.0,2019-07-05,1.652700417455,71.4256947,136.3664354,-1.1338643202765593,1.0810316984816957,0.526441677622021
186.0,58670.0,2019-07-06,1.653203569874,71.552453,136.8144337,-1.1434766413073585,1.0732540867289073,0.5231337109652556
187.0,58671.0,2019-07-07,1.653697369447,71.68018380000001,137.2614989,-1.1530140727928417,1.0654061895840232,0.5197914859380086
188.0,58672.0,2019-07-08,1.654181792128,71.8088776,137.7076381,-1.1624760609139502,1.0574885824017564,0.5164152469667322
189.0,58673.0,2019-07-09,1.6546568143740001,71.9385245,138.15285830000002,-1.1718620492778682,1.0495018447000852,0.5130052522028477
190.0,58674.0,2019-07-10,1.655122413138,72.0691152,138.5971669,-1.1811714948598497,1.0414465560538944,0.5095617460973563
191.0,58675.0,2019-07-11,1.655578565873,72.20063999999999,139.040571,-1.1904038485543385,1.0333233043081966,0.50608498683394
192.0,58676.0,2019-07-12,1.656025250526,72.3330895,139.4830784,-1.1995585780644251,1.0251326691062728,0.5025752271081463
193.0,58677.0,2019-07-13,1.656462445537,72.4664543,139.9246965,-1.2086351459956794,1.0168752427679895,0.4990327223579276
194.0,58678.0,2019-07-14,1.656890129844,72.6007251,140.365433,-1.217633023252937,1.0085516163371653,0.49545772800721466
195.0,58679.0,2019-07-15,1.657308282873,72.7358926,140.8052959,-1.2265516882654126,1.0001623787997325,0.49185050221218435
196.0,58680.0,2019-07-16,1.6577168845410002,72.8719475,141.244293,-1.2353906182299605,0.9917081276817533,0.4882113058621925
197.0,58681.0,2019-07-17,1.658115915255,73.00888069999999,141.68243230000002,-1.2441492975643713,0.9831894616120913,0.48454039704335633
198.0,58682.0,2019-07-18,1.6585053559079999,73.1466831,142.1197221,-1.252827218237219,0.9746069769023281,0.4808380365495404
199.0,58683.0,2019-07-19,1.658885187879,73.2853457,142.5561706,-1.2614238735721617,0.9659612766757913,0.47710448510721765
200.0,58684.0,2019-07-20,1.659255393032,73.4248593,142.9917862,-1.2699387614599227,0.9572529627975592,0.473340011685795
201.0,58685.0,2019-07-21,1.659615953714,73.5652151,143.4265772,-1.2783713833131864,0.948482645477341,0.4695448768501954
202.0,58686.0,2019-07-22,1.659966852755,73.7064043,143.8605523,-1.2867212497964606,0.9396509300546914,0.4657193438272969
203.0,58687.0,2019-07-23,1.6603080734670002,73.84841779999999,144.2937202,-1.2949878721619181,0.9307584243732132,0.4618636868509401
204.0,58688.0,2019-07-24,1.6606395996419998,73.9912471,144.7260895,-1.3031707666472612,0.921805745378171,0.4579781661203141
205.0,58689.0,2019-07-25,1.660961415549,74.1348833,145.1576691,-1.3112694544659271,0.9127935052713578,0.4540630556008661
206.0,58690.0,2019-07-26,1.661273505936,74.2793178,145.5884679,-1.3192834615250226,0.9037223215245376,0.45011862353133536
207.0,58691.0,2019-07-27,1.661575856026,74.4245421,146.0184949,-1.327212318761817,0.8945928135898336,0.4461451379639155
208.0,58692.0,2019-07-28,1.661868451518,74.57054740000001,146.4477593,-1.3350555611267627,0.8854055987813028,0.44214287792755724
209.0,58693.0,2019-07-29,1.662151278587,74.71732540000001,146.8762702,-1.3428127280989772,0.8761613026715525,0.4381121110682396
210.0,58694.0,2019-07-30,1.66242432388,74.8648676,147.3040369,-1.3504833638720088,0.8668605490326886,0.4340531131826651
211.0,58695.0,2019-07-31,1.662687574516,75.0131656,147.73106869999998,-1.3580670162283435,0.8575039657576697,0.4299661598223882
212.0,58696.0,2019-08-01,1.662941018087,75.16221110000001,148.157375,-1.3655632381034524,0.8480921824598205,0.42585152627081235
213.0,58697.0,2019-08-02,1.663184642655,75.3119957,148.5829655,-1.3729715892531493,0.8386258248272878,0.42170949313463724
214.0,58698.0,2019-08-03,1.663418436749,75.4625113,149.00784950000002,-1.3802916284839393,0.8291055328588806,0.4175403351012136
215.0,58699.0,2019-08-04,1.6636423893680001,75.6137497,149.43203689999999,-1.3875229258498027,0.8195319353323597,0.4133443321417003
216.0,58700.0,2019-08-05,1.663856489977,75.7657026,149.8555373,-1.3946650495356423,0.8099056713945081,0.4091217695079775
217.0,58701.0,2019-08-06,1.664060728508,75.9183622,150.2783605,-1.4017175768862788,0.8002273806808771,0.4048729208273345
218.0,58702.0,2019-08-07,1.664255095361,76.0717202,150.7005163,-1.4086800853769175,0.7904977045017866,0.4005980762247097
