day,MJD,date,r,theta,phi,x,y,z
0.0,58484.0,2019-01-01 00:00:00,0.983311354517,66.9399004,100.8735258,-0.17067156908935588,0.8884956572544115,0.38515958052044585
0.1,58484.1,2019-01-01 02:24:00,0.9833106397491,66.94793126,100.98395029,-0.17239171413332238,0.8882023265803529,0.38503245093070054
0.2,58484.2,2019-01-01 04:48:00,0.9833099249812001,66.95596212,101.09437478,-0.17411185917728889,0.8879089959062944,0.3849053213409553
0.3,58484.3,2019-01-01 07:12:00,0.9833092102133,66.96399298,101.20479927,-0.1758320042212554,0.8876156652322358,0.38477819175121
0.4,58484.4,2019-01-01 09:36:00,0.9833084954454,66.97202383999999,101.31522376,-0.1775521492652219,0.8873223345581772,0.3846510621614647
0.5,58484.5,2019-01-01 12:00:00,0.9833077806775,66.9800547,101.42564825,-0.1792722943091884,0.8870290038841186,0.3845239325717194
0.6,58484.6,2019-01-01 14:24:00,0.9833070659096,66.98808556,101.53607274,-0.18099243935315493,0.8867356732100602,0.3843968029819741
0.7,58484.7,2019-01-01 16:48:00,0.9833063511417001,66.99611641999999,101.64649723,-0.18271258439712143,0.8864423425360016,0.38426967339222884
0.8,58484.8,2019-01-01 19:12:00,0.9833056363738,67.00414728,101.75692172,-0.18443272944108793,0.8861490118619431,0.3841425438024835
0.9,58484.9,2019-01-01 21:36:00,0.9833049216059,67.01217813999999,101.86734621,-0.18615287448505444,0.8858556811878845,0.38401541421273827
1.0,58485.0,2019-01-02 00:00:00,0.983304206838,67.020209,101.9777707,-0.18787301952902094,0.8855623505138259,0.38388828462299296
1.1,58485.1,2019-01-02 02:24:00,0.9833039110217,67.02900378,102.08806618,-0.18958740847739475,0.8852413337138103,0.3837491670979063
1.2,58485.2,2019-01-02 04:48:00,0.9833036152054,67.03779856,102.19836165999999,-0.19130179742576855,0.8849203169137947,0.3836100495728196
1.3,58485.3,2019-01-02 07:12:00,0.9833033193891,67.04659334,102.30865714,-0.19301618637414233,0.8845993001137791,0.3834709320477329
1.4,58485.4,2019-01-02 09:36:00,0.9833030235728,67.05538812,102.41895262,-0.19473057532251614,0.8842782833137635,0.38333181452264625
1.5,58485.5,2019-01-02 12:00:00,0.9833027277565001,67.06418289999999,102.52924809999999,-0.19644496427088995,0.8839572665137478,0.38319269699755953
1.6,58485.6,2019-01-02 14:24:00,0.9833024319402001,67.07297768,102.63954358,-0.19815935321926376,0.8836362497137322,0.38305357947247287
1.7,58485.7,2019-01-02 16:48:00,0.9833021361239,67.08177246,102.74983906,-0.19987374216763756,0.8833152329137166,0.3829144619473862
1.8,58485.8,2019-01-02 19:12:00,0.9833018403076,67.09056724,102.86013454,-0.20158813111601134,0.882994216113701,0.38277534442229955
1.9,58485.9,2019-01-02 21:36:00,0.9833015444913,67.09936202,102.97043002,-0.20330252006438515,0.8826731993136854,0.38263622689721283
2.0,58486.0,2019-01-03 00:00:00,0.983301248675,67.1081568,103.0807255,-0.20501690901275896,0.8823521825136698,0.38249710937212617
2.1,58486.1,2019-01-03 02:24:00,0.9833013568296001,67.1177113,103.19087778,-0.2067249766763784,0.8820035666819662,0.3823460396941179
2.2,58486.2,2019-01-03 04:48:00,0.9833014649842,67.1272658,103.30103006,-0.20843304433999782,0.8816549508502627,0.3821949700161096
2.3,58486.3,2019-01-03 07:12:00,0.9833015731388,67.1368203,103.41118234,-0.21014111200361726,0.8813063350185593,0.3820439003381013
2.4,58486.4,2019-01-03 09:36:00,0.9833016812934,67.1463748,103.52133462,-0.2118491796672367,0.8809577191868557,0.381892830660093
2.5,58486.5,2019-01-03 12:00:00,0.9833017894480001,67.1559293,103.6314869,-0.21355724733085613,0.8806091033551522,0.38174176098208473
2.6,58486.6,2019-01-03 14:24:00,0.9833018976026,67.16548379999999,103.74163917999999,-0.21526531499447557,0.8802604875234487,0.38159069130407647
2.7,58486.7,2019-01-03 16:48:00,0.9833020057572,67.1750383,103.85179146,-0.21697338265809502,0.8799118716917451,0.38143962162606815
2.8,58486.8,2019-01-03 19:12:00,0.9833021139118,67.18459279999999,103.96194374,-0.21868145032171446,0.8795632558600417,0.3812885519480599
2.9,58486.9,2019-01-03 21:36:00,0.9833022220664001,67.1941473,104.07209602,-0.22038951798533388,0.8792146400283382,0.38113748227005156
3.0,58487.0,2019-01-04 00:00:00,0.983302330221,67.20370179999999,104.1822483,-0.22209758564895332,0.8788660241966346,0.3809864125920433
3.1,58487.1,2019-01-04 02:24:00,0.9833028320435,67.21401143,104.29224336,-0.22379876748114264,0.8784899122569366,0.3808234326604339
3.2,58487.2,2019-01-04 04:48:00,0.983303333866,67.22432106,104.40223842,-0.22549994931333195,0.8781138003172385,0.3806604527288244
3.3,58487.3,2019-01-04 07:12:00,0.9833038356885,67.23463068999999,104.51223347999999,-0.22720113114552126,0.8777376883775405,0.380497472797215
3.4,58487.4,2019-01-04 09:36:00,0.983304337511,67.24494032,104.62222854,-0.22890231297771058,0.8773615764378425,0.3803344928656056
3.5,58487.5,2019-01-04 12:00:00,0.9833048393335,67.25524995,104.7322236,-0.2306034948098999,0.8769854644981445,0.3801715129339962
3.6,58487.6,2019-01-04 14:24:00,0.983305341156,67.26555958,104.84221866,-0.2323046766420892,0.8766093525584464,0.38000853300238674
3.7,58487.7,2019-01-04 16:48:00,0.9833058429785,67.27586921,104.95221372,-0.23400585847427852,0.8762332406187484,0.37984555307077733
3.8,58487.8,2019-01-04 19:12:00,0.983306344801,67.28617884,105.06220877999999,-0.23570704030646783,0.8758571286790504,0.3796825731391679
